ParkId,Name,Type,Region,Camping,NearestCity
178,Munson Creek Falls State Natural Site,Natural Site,North Coast,FALSE,Tillamook
179,Willamette Stone State Heritage Site,Heritage Site,Portland/Columbia Gorge,FALSE,Portland
180,Umpqua State Scenic Corridor,Scenic Corridor,South Coast,FALSE,Reedsport
181,Clay Myers State Natural Area at Whalen Island,Natural Area,North Coast,FALSE,Pacific City
182,Fort Rock Cave (Near Fort Rock State Natural Area),National Historic Landmark,Central Oregon,FALSE,Fort Rock
183,Government Island State Recreation Area,Recreation Area,Portland/Columbia Gorge,TRUE,Portland
184,Sunset Beach State Recreation Site,Recreation Site,North Coast,FALSE,Astoria
185,Whale Watching Center,Guided Ocean Viewpoint,Central Coast,FALSE,Depoe Bay
186,Rocky Creek State Scenic Viewpoint,Scenic Viewpoint,Central Coast,FALSE,Depoe Bay
187,Fort Yamhill State Heritage Area,Heritage Area,Willamette Valley,FALSE,Grand Ronde
188,"L. L. ""Stub"" Stewart State Park",State Park,Portland/Columbia Gorge,TRUE,Vernonia
189,Thompson's Mills State Heritage Site,Heritage Site,Willamette Valley,FALSE,Shedd
190,State Capitol State Park,State Park,Willamette Valley,FALSE,Salem
191,Arizona Beach State Recreation Site,Recreation Site,South Coast,FALSE,Port Orford
192,Bates State Park,State Park,Eastern Oregon,FALSE,Prairie City
193,Ochoco State Scenic Viewpoint,Scenic Viewpoint,Central Oregon,FALSE,Prineville
194,Dyer State Wayside,Wayside,Eastern Oregon,FALSE,Condon
195,Pete French Round Barn State Heritage Site,Heritage Site,Eastern Oregon,FALSE,New Princeton
196,Cottonwood Canyon State Park,State Park,Central Oregon,FALSE,Moro
197,Sitka Sedge State Natural Area,Natural Site,North Coast,FALSE,Tillamook
